rgroups,num_atoms
[*]CS,3
[*]SCCl,4
[*]OC=C,4
[*]SSC,4
[*]OC=O,4
[*]CI,3
[*]C(=O)[Na],4
[*]CF,3
[*]CSC,4
[*]C(C)Br,4
[*]OF,3
[*]OCF,4
[*]CCl,3
[*]C(=O)S,4
[*]C(C)F,4
[*]C(C)Cl,4
[*][N-]C,3
[*]CBr,3
[*][SH]=O,3
[*]C(=O)Cl,4
[*]C(F)Br,4
[*]N(C)C,4
[*]OBr,3
[*]CC=O,4
[*]CCI,4
[*]C[Na],3
[*]OP,3
[*]CC,3
[*]C(C)I,4
[*]CCF,4
[*]SC=C,4
[*]O[Na],3
[*]C[3H],3
[*]ON=C,4
[*]OCBr,4
[*]C(F)Cl,4
[*]SCF,4
[*]CCC,4
[*]OCI,4
[*]C[Mg+],3
[*]CCBr,4
[*]C(C)=O,4
[*]CC[Mg+],4
[*]C(C)S,4
[*]C[2H],3
[*]C[Se]C,4
[*]OOC,4
[*]O[O-],3
[*]CC=C,4
[*]OC,3
